[DEBUG] 2023-02-26 01:25:28.665 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@6869a3b3
[DEBUG] 2023-02-26 01:25:28.665 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@6869a3b3
[DEBUG] 2023-02-26 01:25:28.665 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@6869a3b3
[DEBUG] 2023-02-26 01:25:28.665 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@431f1eaf
[DEBUG] 2023-02-26 01:25:28.666 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@63bde6c2
[DEBUG] 2023-02-26 01:25:28.668 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@62a4417
[DEBUG] 2023-02-26 01:25:28.668 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@62a4417
[DEBUG] 2023-02-26 01:25:28.668 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@1bf39d06
[DEBUG] 2023-02-26 01:25:28.670 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@3ae0b770
[DEBUG] 2023-02-26 01:25:28.670 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@3ae0b770
[DEBUG] 2023-02-26 01:25:28.673 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@670ce331
[DEBUG] 2023-02-26 01:25:28.673 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@670ce331
[DEBUG] 2023-02-26 01:25:28.674 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@4bbb49b0
[DEBUG] 2023-02-26 01:25:28.675 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@15f8701f
[DEBUG] 2023-02-26 01:25:28.676 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@440eaa07
[DEBUG] 2023-02-26 01:25:28.681 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@3659d7b1
[DEBUG] 2023-02-26 01:25:28.681 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@3659d7b1
[DEBUG] 2023-02-26 01:25:28.682 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@1c758545
[DEBUG] 2023-02-26 01:25:28.682 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@117bcfdc
[DEBUG] 2023-02-26 01:25:28.682 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@73a19967
[DEBUG] 2023-02-26 01:25:28.682 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@5e746d37
[DEBUG] 2023-02-26 01:25:28.683 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@6e1b9411
[DEBUG] 2023-02-26 01:25:28.683 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@21d1b321
[DEBUG] 2023-02-26 01:25:28.683 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@5ec46cdd
[DEBUG] 2023-02-26 01:25:28.683 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@2324bfe7
[DEBUG] 2023-02-26 01:25:28.722 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2023-02-26 01:25:28.723 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2023-02-26 01:25:28.724 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2023-02-26 01:25:28.724 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2023-02-26 01:25:28.725 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2023-02-26 01:25:28.726 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
